Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"R75","22K","R_0603_1608Metric",7.493,-90.043,180.0,top
"R74","22K","R_0603_1608Metric",12.573,-76.327,90.0,top
"R73","22K","R_0603_1608Metric",21.463,-87.249,0.0,top
"R72","22K","R_0603_1608Metric",30.099,-84.582,0.0,top
"R71","22K","R_0603_1608Metric",21.463,-82.296,0.0,top
"R70","22K","R_0603_1608Metric",25.273,-84.709,0.0,top
"C21","100n","C_0603_1608Metric",7.493,-91.567,180.0,top
"C20","100n","C_0603_1608Metric",11.049,-76.327,90.0,top
"C19","100n","C_0603_1608Metric",21.463,-88.773,0.0,top
"C18","100n","C_0603_1608Metric",30.099,-83.058,0.0,top
"C17","100n","C_0603_1608Metric",21.463,-83.82,0.0,top
"C16","100n","C_0603_1608Metric",25.273,-86.233,0.0,top
"C15","100n","C_0603_1608Metric",48.641,-42.545,90.0,top
"C14","100n","C_0603_1608Metric",45.212,-38.989,0.0,top
"R14","100R","R_0805_2012Metric",46.609,-54.0785,270.0,top
"R69","100R","R_0805_2012Metric",58.801,-54.0785,270.0,top
